name,slug,category,price,variations,image_url
هندسة طبية,medical-engineering,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1SLKeaU4y3ElmKKNHzHJ5hG0inrG7OEAb/view?usp=sharing
اسلامية 1,islamic-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/145bGcc2ZWpHoqP9IAmer4leY54tHEt3_/view?usp=sharing
اسلامية 2,islamic-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1SlC9NjqkksZiUDtBfqhABBiOZ2s2o4gu/view?usp=sharing
عبارات عربي 1,arabic-text-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1ucTsmhK3CVF8gAZHMkzUiDYr5TfVmVmh/view?usp=sharing
عبارات عربي 2,arabic-text-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1ICpY-EG_nQ7dbjOkKAzKz5Kz9J4QTZCw/view?usp=sharing
عربي 1,arabic-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1R7p3g92rMnZUzSPaCV1BRMC5H1gjgWs6/view?usp=sharing
عربي 2,arabic-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/13j21H26Vr_p6fqu8ViKRpk5DxLpvm_zh/view?usp=sharing
عربي 3,arabic-3,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1Hupc6DMeV938useKnSN1Y5MX9L_YEa93/view?usp=sharing
بنات 1,girls-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/11ckU84sMl9dBaTT8ebpoTEmUIK1hkJGB/view?usp=sharing
فتيات القوة,powerpuff-girls-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1xXP2IbShP0eQfTlxisDs7uezU9swdvi4/view?usp=sharing
ستيتش 1,stitch-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1AmiBPGkez-m2F0_fkXQm1lHQXFwooKJG/view?usp=sharing
,,,,,

,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
